name,position in array,low,high,step,optguess,minbound,maxbound,derived params
StageTemperatureSum,0,118,178,,,,,
StageTemperatureSum,1,227,341,,,,,
StageTemperatureSum,2,304,456,,,,,
StageTemperatureSum,3,144,216,,,,,
StageTemperatureSum,4,336,504,,,,,
StageTemperatureSum,5,20,30,,,,,
BaseDaylength,2,5,9,0.2,,,,
BaseDaylength,3,5,9,0.2,,,,
DaylengthRequirement,2,16,24,0.2,,,,
DaylengthRequirement,2,16,24,0.2,,,,
