projectID	Simulation ID	Treatment ID	Soil ID	Weather station ID	weather_file	Leaf area index	Plant available water content	Irrigation amount	Surface organic residue, dry mass	Total above ground dry mass	Mulch thickness 
text	text	text	text	text	text	m²/m²	-	mm	kg[C]/ha	kg[DM]/ha	mm
ProjectID	SM	TREAT_ID	SOIL_ID	WST_ID	WST_DATASET	LAID	AWC	IRVAL	LC0D	CWAD	MLTHK
FRLUL0AW0.25	SAND_FRLU_L0AW0.25	L0AW0.25	SAND	FRLU	FRLUL0AW0.25	0	0.25	0	0	0	0
USMAL0AW0.25	SICL_USMA_L0AW0.25	L0AW0.25	SICL	USMA	USMAL0AW0.25	0	0.25	0	0	0	0
USMAL0AW0.25	SILO_USMA_L0AW0.25	L0AW0.25	SILO	USMA	USMAL0AW0.25	0	0.25	0	0	0	0
USMAL0AW0.25	SALO_USMA_L0AW0.25	L0AW0.25	SALO	USMA	USMAL0AW0.25	0	0.25	0	0	0	0
USMAL0AW0.25	SAND_USMA_L0AW0.25	L0AW0.25	SAND	USMA	USMAL0AW0.25	0	0.25	0	0	0	0
FRMOL0AW0.25	SICL_FRMO_L0AW0.25	L0AW0.25	SICL	FRMO	FRMOL0AW0.25	0	0.25	0	0	0	0
FRMOL0AW0.25	SILO_FRMO_L0AW0.25	L0AW0.25	SILO	FRMO	FRMOL0AW0.25	0	0.25	0	0	0	0
FRMOL0AW0.25	SALO_FRMO_L0AW0.25	L0AW0.25	SALO	FRMO	FRMOL0AW0.25	0	0.25	0	0	0	0
FRMOL0AW0.25	SAND_FRMO_L0AW0.25	L0AW0.25	SAND	FRMO	FRMOL0AW0.25	0	0.25	0	0	0	0
CAQCL0AW0.25	SICL_CAQC_L0AW0.25	L0AW0.25	SICL	CAQC	CAQCL0AW0.25	0	0.25	0	0	0	0
CAQCL0AW0.25	SILO_CAQC_L0AW0.25	L0AW0.25	SILO	CAQC	CAQCL0AW0.25	0	0.25	0	0	0	0
CAQCL0AW0.25	SALO_CAQC_L0AW0.25	L0AW0.25	SALO	CAQC	CAQCL0AW0.25	0	0.25	0	0	0	0
CAQCL0AW0.25	SAND_CAQC_L0AW0.25	L0AW0.25	SAND	CAQC	CAQCL0AW0.25	0	0.25	0	0	0	0
USGAL0AW0.50	SICL_USGA_L0AW0.50	L0AW0.50	SICL	USGA	USGAL0AW0.50	0	0.50	0	0	0	0
USGAL0AW0.50	SILO_USGA_L0AW0.50	L0AW0.50	SILO	USGA	USGAL0AW0.50	0	0.50	0	0	0	0
USGAL0AW0.50	SALO_USGA_L0AW0.50	L0AW0.50	SALO	USGA	USGAL0AW0.50	0	0.50	0	0	0	0
USGAL0AW0.50	SAND_USGA_L0AW0.50	L0AW0.50	SAND	USGA	USGAL0AW0.50	0	0.50	0	0	0	0
DEMUL0AW0.50	SICL_DEMU_L0AW0.50	L0AW0.50	SICL	DEMU	DEMUL0AW0.50	0	0.50	0	0	0	0
DEMUL0AW0.50	SILO_DEMU_L0AW0.50	L0AW0.50	SILO	DEMU	DEMUL0AW0.50	0	0.50	0	0	0	0
DEMUL0AW0.50	SALO_DEMU_L0AW0.50	L0AW0.50	SALO	DEMU	DEMUL0AW0.50	0	0.50	0	0	0	0
DEMUL0AW0.50	SAND_DEMU_L0AW0.50	L0AW0.50	SAND	DEMU	DEMUL0AW0.50	0	0.50	0	0	0	0
COCAL0AW0.50	SICL_COCA_L0AW0.50	L0AW0.50	SICL	COCA	COCAL0AW0.50	0	0.50	0	0	0	0
COCAL0AW0.50	SILO_COCA_L0AW0.50	L0AW0.50	SILO	COCA	COCAL0AW0.50	0	0.50	0	0	0	0
COCAL0AW0.50	SALO_COCA_L0AW0.50	L0AW0.50	SALO	COCA	COCAL0AW0.50	0	0.50	0	0	0	0
COCAL0AW0.50	SAND_COCA_L0AW0.50	L0AW0.50	SAND	COCA	COCAL0AW0.50	0	0.50	0	0	0	0
