Weather station ID	Site name	Country	Latitude	Longitude	Amplitude of temperature	Average annual temperature
text	text	text	degrees(°)	degrees(°)	°C	°C
WST_ID	SITE_NAME	FL_LOC_1	XLAT	XLONG	TAMP	TAV
USGA	Gainesville	USA	29.652	-82.325	21.8	15.8
DEMU	Muncheberg	Germany	52.507	14.128	34	5.03
COCA	Cali	Columbia	3.36	-76.639	3.4	19.91
FRLU	Lusignan	France	46.435	0.122	24.1	7.22
USMA	Maricopa	USA	33.058	-112.048	27.2	14.95
FRMO	Montpellier	France	43.612	3.877	24.3	11.06
CAQC	QuebecCity	Canada	46.83	-71.254	41	-1.9
